,Catégorie,Produit,Prix Habituel,Prix,Description
26, Minuman   Kopi   Kopi Bubuk/ Biji , Luwak White Koffie 3 Rasa 10X20g,Rp 13.500,Rp11.500,"CARA PENGGUNAAN :
Tuangkan seluruh isi pack dalam gelas, tambahkan 180cc air mendidih, aduk dan siap disajikan.

KOMPOSISI :
Krimer (glucose syrup), vegetable oil, sodium caseinate (mengandung protein susu), emulsifier E471, Stabilizer E340, anti caking agent (E554), Colour E160a, gula, kopi rendah asam.

OTHER DETAILS :
Luwak White Koffie 3 Rasa 10x20g adalah kopi luwak terbaik asli Indonesia. Dihasilkan dari biji kopi terbaik yang sulit ditemukan karena memiliki karakteristik unik yang hanya tumbuh di Sumatera dan pulau Jawa. Luwak Coffee diolah melalui proses fermentas

TAKARAN PER KEMASAN :
Sajian per kemasan: 10

TAKARAN PER SERVING :
Calories 110kcal, calories from fat 25kcal. % daily value: Total fat 4%, saturated fat 13%, trans fat 0g, cholesterol 0%, sodium 1%, total carbohydrate 7%, dietary fiber 0%, sugars 11g, protein 1g, vitamin A 0%, vitamin C 0%, calcium 1%, iron 1%.

TAKARAN SAJI :
Takaran saji: 20g

PLU :
20055300"
27, Makanan   Cokelat & Permen   Permen , Lotte Chewing Gum Sugar Free Xylitol Fresh Mint 30G,Rp 8.400,Rp6.400,"KOMPOSISI :
Pemanis buatan (silitol 1356mg/saji), menthol 1134mg/saji), gum base, gum arab, perisa mint, gliserin, sheliac (mengandung etanol, kalsium fosfat, ekstrak rumput laut, gelatin sapi, kamauba wax, pemanis buatas aspartan (0.33mg/saji), pewarna makanan (biru berlian CI 42090/E133).

OTHER DETAILS :
Permen karet dengan xylitol dapat mengurangi resiko karies gigi dan 2 bahan aktifnya ekstrak rumput laut dan kalsium fosfat mendukung proses memineralisasi untuk gigi lebih kuat.

PERHATIAN :
Silitol dapat mengurangi risiko karies gigi.

TAKARAN PER KEMASAN :
Sajian per kemasan : 10

TAKARAN PER SERVING :
Energi total 10kkal, lemak total 0g. % AKG: protein 0g, karbohidrat total 3g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takaran saji 2btr:3g

PLU :
20025350"
28, Minuman   Kopi   Kopi Bubuk/ Biji , Excelso Kopi Arabica 100g,Rp 26.700,Rp23.700,"CARA PENYIMPANAN :
Untuk menjaga rasa kopi dan kesegaran aromanya, simpan kopi excelso dalam wadah kedap udara atau kotak vakum dan letakkan di tempat yang kering dan sejuk. Jauhkan dari sinar matahari.

TAKARAN PER KEMASAN :
Sajian per kemasan: 14

TAKARAN PER SERVING :
Energi total 30kkal, energi dari lemak 18kkal. % AKG: Lemak total 1g, lemak jenuh 1g, lemak trans 0g, kolesterol 0mg, protein 1g, karbohidrat total 5g, serat pangan 4g, gula 0g, natrium 0mg, kalium 110mg.

TAKARAN SAJI :
Takaran saji: 7g

PLU :
20022693"
29, Minuman   Kopi   Kopi Bubuk/ Biji , Luwak Kopi Bubuk Murni 165G,Rp 10.900,Rp9.900,"CARA PENGGUNAAN :
Tuangkan satu sendok kopi luwak ke dalam cangkir, seduh dengan air mendidih 200ml. Aduk rata dan hidangkan.

KOMPOSISI :
Kopi bubuk

PLU :
20049772"
30, Ibu & Anak   Perlengkapan Bayi , Johnsons Baby Lotion Soap Blossoms 100G,Rp 5.700,Rp4.900,"BERAT :
120g

DESKRIPSI :
JOHNSONS BABY LOTION SOAP BLOSSOMS BAR 100g

JENIS :
BLOSSOMS

KOMPOSISI :
Sodium palmate, sodium palm kenelate, fragrance, titanium dioxide, mineral oil, glycerin, water, tetrasodium EDTA, etidronic acid, CI 26100.

MERK :
JOHNSONS

NAMA :
BABY LOTION SOAP

SIZE :
9x5.6x3cm

PLU :
20017057"
31, Makanan   Cokelat & Permen   Permen , Frozz Candy Mint 15G,,Rp7.000,"KOMPOSISI :
Pemanis buatan Sorbitol (97%), Anti kempal Magnesium Stearat, Perisa Mint

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
10037001"
32, Makanan   Cokelat & Permen   Permen , Frozz Candy Cherry Mint 15G,,Rp8.400,"KOMPOSISI :
Sorbitol, Anti kempal Magnesium Stearat, Perisa Ceri, Perisa Mint, Pewarna Makanan (Karmoisin CI 14720)

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
10003491"
33, Makanan   Cokelat & Permen   Permen , Lotte Chewing Gum Sugar Free Xylitol Jeruk Nipis Mint 30G,Rp 8.400,Rp6.400,"KOMPOSISI :
Pemanis buatan (silitol 1044mg/saji), menthol 933mg/saji), gum base, gum arab, perisa jeruk nipis, perisa menthol, sheliac (mengandung etanol, kalsium fosfat, ekstrak rumput laut, gelatin sapi, kamauba wax, pewarna makanan sintetik (tartrazin CI 19140E.102.

OTHER DETAILS :
Permen karet dengan xylitol dapat mengurangi resiko karies gigi dan 2 bahan aktifnya ekstrak rumput laut dan kalsium fosfat mendukung proses memineralisasi untuk gigi lebih kuat.

PERHATIAN :
Silitol dapat mengurangi risiko karies gigi.

TAKARAN PER KEMASAN :
Sajian per kemasan : 10

TAKARAN PER SERVING :
Energi total 10kkal, lemak total 0g. % AKG: protein 0g, karbohidrat total 3g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takaran saji 2btr:3g

PLU :
20021339"
34," Kesehatan & Kecantikan   Kesehatan   Obat Minum   Batuk, Flu & Sakit Tenggorokan ", Obh Combi Obat Batuk Berdahak Menthol 100Ml,Rp 14.300,Rp12.800,"CARA PENGGUNAAN :
Dewasa:

CARA PENYIMPANAN :
Simpan di bawah suhu 30 C

KOMPOSISI :
Tiap 5mL sirup mengandung:

OTHER DETAILS :
OBH COMBI BATUK BERDAHAK MENTHOL 100ML merupakan obat batuk dengan rasa menthol yang sangat menyegarkan dan sangat ampuh mengusir batuk yang berdahak

PLU :
10037392"
35," Kesehatan & Kecantikan   Kesehatan   Obat Minum   Batuk, Flu & Sakit Tenggorokan ", Laserin Obat Batuk 110Ml,Rp 22.000,Rp19.000,"CARA PENGGUNAAN :
Dewasa: 3 x sehari 1-2 sendok makan.

KOMPOSISI :
Tiap sendok makan (15mL) mengandung:

OTHER DETAILS :
Laserin sirup obat batuk dan asthma 110mL

PLU :
10002978"
36, Makanan   Cokelat & Permen   Jelly & Permen Karet , Yupi Candy Gummy Pizza 23G,,Rp3.000,"CARA PENYIMPANAN :
Simpan di tempat dingin dan kering

KOMPOSISI :
Sirup Glukosa, Gula, Air, Sari buah Pir / Apel, Penstabil (Gelatin sapi), Humektan (Sorbitol), Pengatur Keasaman (Asam Sitrat, Asam Laktat), Protein susu, Bahan Pelapis (Minyak Nabati), KarnaubaWax (mengandung Antioksidan Tokoferol), Vitamin C, Perisa : Stroberi, Nanas, Pewarna : Kurkumin CI 75300, Kuning FCF CI 15985, Merah Allura CI 16035, Titanium Dioksida CI 77891, Karamel E150c, Paprika E160c

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN PER SERVING :
Energi Total : 78kkal, Energi dari Lemak 0g, Lemak total 0g, Protein 1g, Karbohidrat Total 18g, Gula 79g, Natrium 11mg, Vitamin C 4mg

TAKARAN SAJI :
Takaran saji : 23g

PLU :
20048724"
37, Minuman   Kopi   Kopi Bubuk/ Biji , Top Coffee Kopi Gula Susu 3 In 1 10X31g,Rp 10.000,Rp8.900,"CARA PENGGUNAAN :
Tuang 1 sachet TOP kopi susu ke dalam cangkir. Seduh dengan 175ml air mendidih. Aduk hingga rata dan kopi siap disajikan.

KOMPOSISI :
Gula, Krimer nabati, Kopi bubuk, Susu bubuk.

PLU :
20041562"
38, Makanan   Cokelat & Permen   Permen , Frozz Candy Barley Mint 15G,,Rp8.400,"KOMPOSISI :
Pemanis buatan Sorbitol (97%), Anti kempal Magnesium Stearat, Perisa Barley Mint, Pewarna Makanan (Biru Berlian CI 42090)

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
10003481"
39, Makanan   Cokelat & Permen   Permen , Lotte Chewing Gum Sugar Free Xylitol Blueberry Mint 27.5G,Rp 8.400,Rp6.400,"KOMPOSISI :
Pemanis buatan (silitol 1119mg/saji), menthol 984mg/saji), gum base, perisa bluberi, gum arab, perisa menthol, sheliac (mengandung etanol, kalsium fosfat, pemanis buatan aspartan 1.55, ekstrak rumput laut, kamauba wax, pewarna makanan sintetik.

OTHER DETAILS :
Permen karet dengan xylitol dapat mengurangi resiko karies gigi dan 2 bahan aktifnya ekstrak rumput laut dan kalsium fosfat mendukung proses memineralisasi untuk gigi lebih kuat.

PERHATIAN :
Silitol dapat mengurangi risiko karies gigi.

TAKARAN PER KEMASAN :
Sajian per kemasan : 10

TAKARAN PER SERVING :
Energi total 10kkal, lemak total 0g. % AKG: protein 0g, karbohidrat total 3g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takaran saji 2btr:3g

PLU :
20021340"
40, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Pandan Coklat Srikaya,,Rp13.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu,air, es, antioksidan, perisa pandan sintetik, pasta cokelat, pasta sarikaya, gula pasir, margarin, santan kelapa bubuk, ragi, lemak reroti, garam, pengembang, dan pengawet kalsium propionat.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN SAJI :
180 gram

PLU :
20041084"
41," Kesehatan & Kecantikan   Kesehatan   Obat Minum   Batuk, Flu & Sakit Tenggorokan ", Obh Combi Sirup Obat Batuk Anak Strawberry 60Ml,Rp 17.700,Rp16.200,"CARA PENANGANAN :
Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain (Misal: Feniletin, ephedrine, fenilpropanolamin), penderita tekanan tekanan darah tinggi.

CARA PENGGUNAAN :
Umur 2-5 tahun: 3 x 5mL sehari

CARA PENYIMPANAN :
Simpan dibawah suhu 30 C dan terlindungi dari cahaya sinar matahari.

KOMPOSISI :
Tiap 5 mL sirup mengandung:

OTHER DETAILS :
OBH combi anak batuk plus flu: OBH, Paracetamol, Pseudoephedrine HCI, Chlorpheniramine Maleate.

PERHATIAN :
Hati-hati penggunaan pada penderita dengan gangguan fungsi hati dan ginjal, glaukoma, hipertiroid dan retensi urine.

PLU :
10008599"
42," Kesehatan & Kecantikan   Kesehatan   Obat Minum   Batuk, Flu & Sakit Tenggorokan ", Obh Combi Obat Batuk Plus Flu Menthol 100Ml,Rp 19.600,Rp18.100,"CARA PENANGANAN :
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati.

CARA PENGGUNAAN :
Dewasa dan anak-anak diatas 12 tahun : Sehari, 3 x 3 sendok takar (@ 5 mL).

CARA PENYIMPANAN :
Simpan di bawah suhu 30 derajat celcius.

KOMPOSISI :
Tiap 5 mL sirup mengandung:

OTHER DETAILS :
Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin.

PERHATIAN :
Awas! Obat Keras. Bacalah aturan memakainya.

PLU :
10000289"
43, Makanan   Cokelat & Permen   Permen , Frozz Candy Blueberry Mint 15G,,Rp8.400,"KOMPOSISI :
Sorbitol (356mg/butir), Magnesium Stearat, Perisa Bluberry, Mentol, Pewarna Makanan (Karmoisin CI 14720, Biru Berlian CI 42090)

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
20014081"
